Z;N;AME20;Prediction;Difference
-2.3380092239149755;-2.0089503503643074;-2.75;41.254898;-44.00489807128906
-2.3380092239149755;-1.9912928704302486;1.27;37.68792;-36.417919616699216
-2.3380092239149755;-1.9736353904961899;0.93;27.999008;-27.069008178710938
-2.3380092239149755;-1.955977910562131;5.15;29.70934;-24.559339141845705
-2.3380092239149755;-1.9383204306280724;3.24;20.411674;-17.171674499511717
-2.3380092239149755;-1.9206629506940136;9.08;26.820301;-17.740301055908205
-2.3380092239149755;-1.9030054707599549;9.38;18.069527;-8.68952667236328
-2.3380092239149755;-1.8853479908258963;14.86;29.123913;-14.263912811279297
-2.3380092239149755;-1.8676905108918376;19.13;21.89027;-2.760270233154298
-2.3380092239149755;-1.8500330309577788;29.59;35.18997;-5.5999681091308595
-2.3380092239149755;-1.83237555102372;34.84;30.428993;4.411006774902347
-2.3380092239149755;-1.8147180710896613;46.97;45.064568;1.9054324340820301
-2.3380092239149755;-1.7970605911556026;50.69;42.240364;8.449635925292966
-2.3380092239149755;-1.7794031112215438;62.85;55.98005;6.86995086669922
-2.3380092239149755;-1.7617456312874853;70.2;55.3422;14.857798767089847
-2.3380092239149755;-1.7440881513534265;80.5;67.335365;13.164634704589844
-2.3380092239149755;-1.7264306714193678;88.1;69.92804;18.171960449218744
-2.3380092239149755;-1.708773191485309;96.02;79.29358;16.726420898437496
-2.3380092239149755;-1.6911157115512503;106.5;85.957436;20.542564392089844
-2.3002344087935573;-2.0089503503643074;4.21;59.129128;-54.919127502441405
-2.3002344087935573;-1.9912928704302486;2.37;48.620895;-46.25089538574219
-2.3002344087935573;-1.9736353904961899;0.89;48.528168;-47.638167724609374
-2.3002344087935573;-1.955977910562131;-0.91;39.327766;-40.23776641845703
-2.3002344087935573;-1.9383204306280724;-2.85;42.080532;-44.93053207397461
-2.3002344087935573;-1.9206629506940136;1.81;34.466858;-32.65685791015625
-2.3002344087935573;-1.9030054707599549;1.47;39.34049;-37.87048843383789
-2.3002344087935573;-1.8853479908258963;5.47;34.90101;-29.431008605957032
-2.3002344087935573;-1.8676905108918376;9.31;41.801487;-32.49148696899414
-2.3002344087935573;-1.8500330309577788;17.51;39.556335;-22.04633544921875
-2.3002344087935573;-1.83237555102372;22.41;46.8593;-24.449298706054687
-2.3002344087935573;-1.8147180710896613;32.25;47.3468;-15.0968017578125
-2.3002344087935573;-1.7970605911556026;37.38;53.463753;-16.08375274658203
-2.3002344087935573;-1.7794031112215438;47.41;57.00665;-9.596649017333988
-2.3002344087935573;-1.7617456312874853;53.59;61.721046;-8.131046447753903
-2.3002344087935573;-1.7440881513534265;64.57;67.63495;-3.064948730468757
-2.3002344087935573;-1.7264306714193678;71.94;71.47806;0.4619421386718727
-2.3002344087935573;-1.708773191485309;82.1;79.77714;2.322862243652338
-2.3002344087935573;-1.6911157115512503;90.3;83.46724;6.832760620117185
-2.3002344087935573;-1.6734582316171915;99.82;92.57065;7.249351806640618
-2.3002344087935573;-1.6558007516831328;109.04;97.635025;11.404974975585944
-2.3002344087935573;-1.638143271749074;120.28;104.71953;15.560471801757814
-2.2624595936721392;-2.0089503503643074;7.32;34.564976;-27.24497573852539
-2.2624595936721392;-1.9912928704302486;4.11;31.446276;-27.33627571105957
-2.2624595936721392;-1.9736353904961899;-9.14;19.398872;-28.538872375488282
-2.2624595936721392;-1.955977910562131;-6.27;21.140734;-27.41073371887207
-2.2624595936721392;-1.9383204306280724;-8.29;9.534758;-17.82475761413574
-2.2624595936721392;-1.9206629506940136;-4.79;15.697703;-20.48770336151123
-2.2624595936721392;-1.9030054707599549;-6.81;2.6533196;-9.463319597244261
-2.2624595936721392;-1.8853479908258963;-3.02;15.098377;-18.118377227783203
-2.2624595936721392;-1.8676905108918376;-0.13;2.896458;-3.0264579105377196
-2.2624595936721392;-1.8500330309577788;6.45;18.110384;-11.660383987426759
-2.2624595936721392;-1.83237555102372;10.84;7.91005;2.929950084686279
-2.2624595936721392;-1.8147180710896613;18.87;24.686934;-5.816933517456054
-2.2624595936721392;-1.7970605911556026;22.1;16.811657;5.2883430480957045
-2.2624595936721392;-1.7794031112215438;32.63;32.983543;-0.3535433959960912
-2.2624595936721392;-1.7617456312874853;37.73;27.209541;10.520458679199216
-2.2624595936721392;-1.7440881513534265;47.58;41.752563;5.827436523437498
-2.2624595936721392;-1.7264306714193678;53.75;40.57684;13.173160552978516
-2.2624595936721392;-1.708773191485309;64.35;53.044773;11.305226898193354
-2.2624595936721392;-1.6911157115512503;71.1;55.05873;16.041268920898432
-2.2624595936721392;-1.6734582316171915;81.27;65.692345;15.577655334472652
-2.2624595936721392;-1.6558007516831328;88.32;69.96373;18.356270141601556
-2.2624595936721392;-1.638143271749074;100.1;77.634094;22.465905761718744
-2.2624595936721392;-1.6204857918150155;106.62;85.52389;21.09611236572266
-2.2624595936721392;-1.6028283118809568;117.87;89.9167;27.953297729492192
-2.2624595936721392;-1.585170831946898;124.2;101.35496;22.845042419433597
-2.224684778550721;-2.0089503503643074;12.38;58.46352;-46.083520050048826
-2.224684778550721;-1.9912928704302486;6.09;45.865063;-39.77506271362304
-2.224684778550721;-1.9736353904961899;-2.59;45.70562;-48.29561981201172
-2.224684778550721;-1.955977910562131;-4.81;35.921288;-40.731287536621096
-2.224684778550721;-1.9383204306280724;-8.98;37.390343;-46.37034271240235
-2.224684778550721;-1.9206629506940136;-7.52;30.379166;-37.89916564941406
-2.224684778550721;-1.9030054707599549;-9.16;32.629234;-41.78923431396484
-2.224684778550721;-1.8853479908258963;-7.12;28.288227;-35.408227081298826
-2.224684778550721;-1.8676905108918376;-5.25;32.280083;-37.53008270263672
-2.224684778550721;-1.8500330309577788;-0.53;29.524296;-30.054295806884767
-2.224684778550721;-1.83237555102372;2.82;34.66127;-31.841270141601562
-2.224684778550721;-1.8147180710896613;9.6;33.937458;-24.337458038330077
-2.224684778550721;-1.7970605911556026;12.81;37.87215;-25.062150421142576
-2.224684778550721;-1.7794031112215438;20.46;40.638687;-20.17868713378906
-2.224684778550721;-1.7617456312874853;25.07;41.15166;-16.081660919189453
-2.224684778550721;-1.7440881513534265;32.83;48.145718;-15.315717620849611
-2.224684778550721;-1.7264306714193678;38.3;48.427742;-10.127742004394534
-2.224684778550721;-1.708773191485309;47.06;58.131393;-11.071393432617185
-2.224684778550721;-1.6911157115512503;53.55;59.830173;-6.2801734924316435
-2.224684778550721;-1.6734582316171915;62.93;70.719574;-7.789573974609375
-2.224684778550721;-1.6558007516831328;70.26;71.812904;-1.5529043579101511
-2.224684778550721;-1.638143271749074;80.07;82.561;-2.4909970092773506
-2.224684778550721;-1.6204857918150155;87.61;83.9779;3.6321023559570307
-2.224684778550721;-1.6028283118809568;97.66;93.23905;4.42094818115234
-2.224684778550721;-1.585170831946898;105.46;96.71535;8.744652709960931
-2.224684778550721;-1.5675133520128393;115.34;104.68101;10.658992614746097
-2.186909963429303;-2.0089503503643074;16.77;33.294987;-16.524986724853516
-2.186909963429303;-1.9912928704302486;8.82;30.877823;-22.057822875976562
-2.186909963429303;-1.9736353904961899;-0.19;16.387785;-16.577784957885743
-2.186909963429303;-1.955977910562131;-4.68;18.87595;-23.55594985961914
-2.186909963429303;-1.9383204306280724;-14.28;4.279431;-18.559430866241456
-2.186909963429303;-1.9206629506940136;-12.72;11.411534;-24.131534309387206
-2.186909963429303;-1.9030054707599549;-15.88;-6.3190436;-9.56095636367798
-2.186909963429303;-1.8853479908258963;-15.1;8.183764;-23.283764457702638
-2.186909963429303;-1.8676905108918376;-15.71;-8.776585;-6.93341537475586
-2.186909963429303;-1.8676905108918376;-16.89657;-90.65077;73.75420209472657
-2.186909963429303;-1.8500330309577788;-10.52;8.413875;-18.933874626159668
-2.186909963429303;-1.83237555102372;-9.37;-7.2589393;-2.1110607337951652
-2.186909963429303;-1.8147180710896613;-2.44;11.274925;-13.714925231933593
-2.186909963429303;-1.7970605911556026;-0.69;-1.7560308;1.066030797958374
-2.186909963429303;-1.7794031112215438;5.7;16.26641;-10.56641082763672
-2.186909963429303;-1.7617456312874853;9.3;5.7264256;3.573574352264405
-2.186909963429303;-1.7440881513534265;17.22;21.938187;-4.718186645507814
-2.186909963429303;-1.7264306714193678;21.32;16.08384;5.236160583496094
-2.186909963429303;-1.708773191485309;29.59;30.656307;-1.0663072204589845
-2.186909963429303;-1.6911157115512503;34.88;28.34634;6.533659820556643
-2.186909963429303;-1.6734582316171915;43.54;41.65916;1.8808393859863273
-2.186909963429303;-1.6558007516831328;50.25;41.91932;8.330680847167969
-2.186909963429303;-1.638143271749074;59.88;53.1939;6.686098937988284
-2.186909963429303;-1.6204857918150155;65.98;55.304714;10.675285797119145
-2.186909963429303;-1.6028283118809568;75.68;64.62894;11.051063232421882
-2.186909963429303;-1.585170831946898;82.86;69.48855;13.371451721191406
-2.186909963429303;-1.5675133520128393;92.75;75.936264;16.813735961914062
-2.186909963429303;-1.5498558720787805;99.72;84.46467;15.255331726074218
-2.1491351483078844;-2.0089503503643074;28.12;61.23001;-33.11001098632812
-2.1491351483078844;-1.9912928704302486;17.57;49.21413;-31.644130401611328
-2.1491351483078844;-1.9736353904961899;7.97;46.63584;-38.66584136962891
-2.1491351483078844;-1.955977910562131;1.19;38.518024;-37.32802444458008
-2.1491351483078844;-1.9383204306280724;-8.0;36.555027;-44.55502700805664
-2.1491351483078844;-1.9206629506940136;-12.16;31.587105;-43.74710479736328
-2.1491351483078844;-1.9030054707599549;-17.25;29.995653;-47.24565315246582
-2.1491351483078844;-1.8853479908258963;-16.88;27.872345;-44.75234497070312
-2.1491351483078844;-1.8676905108918376;-17.59;27.646029;-45.23602851867676
-2.1491351483078844;-1.8500330309577788;-14.92;26.965057;-41.88505737304688
-2.1491351483078844;-1.83237555102372;-14.62;27.50104;-42.12103950500488
-2.1491351483078844;-1.8147180710896613;-10.37;28.323318;-38.69331848144531
-2.1491351483078844;-1.7970605911556026;-8.93;28.256678;-37.186677627563476
-2.1491351483078844;-1.7794031112215438;-3.37;30.987494;-34.357493515014646
-2.1491351483078844;-1.7617456312874853;-0.87;29.031357;-29.90135681152344
-2.1491351483078844;-1.7440881513534265;5.55;36.230934;-30.680934143066406
-2.1491351483078844;-1.7264306714193678;8.53;32.023;-23.492998809814452
-2.1491351483078844;-1.708773191485309;15.78;43.59134;-27.811339111328124
-2.1491351483078844;-1.6911157115512503;20.0;39.1575;-19.157501220703125
-2.1491351483078844;-1.6734582316171915;28.12;52.870155;-24.750155334472655
-2.1491351483078844;-1.6558007516831328;33.63;48.158474;-14.528473968505857
-2.1491351483078844;-1.638143271749074;41.61;62.86806;-21.25806106567383
-2.1491351483078844;-1.6204857918150155;47.69;59.192993;-11.502993164062502
-2.1491351483078844;-1.6028283118809568;56.72;73.43882;-16.718819885253907
-2.1491351483078844;-1.585170831946898;63.66;70.83297;-7.172969665527347
-2.1491351483078844;-1.5675133520128393;72.86;83.651566;-10.791565551757813
-2.1491351483078844;-1.5498558720787805;80.91;83.06897;-2.1589697265625034
-2.1491351483078844;-1.5321983921447218;89.9;94.32402;-4.424020385742182
-2.1113603331864663;-2.0089503503643074;34.05;37.219887;-3.169886779785159
-2.1113603331864663;-1.9912928704302486;22.61;36.77146;-14.161461486816407
-2.1113603331864663;-1.9736353904961899;11.23;18.536533;-7.30653335571289
-2.1113603331864663;-1.955977910562131;4.67;22.891212;-18.221212463378905
-2.1113603331864663;-1.9383204306280724;-6.38;4.5299163;-10.909916286468505
-2.1113603331864663;-1.9206629506940136;-12.32;13.649791;-25.96979076385498
-2.1113603331864663;-1.9030054707599549;-20.96;-7.5379043;-13.422095737457276
-2.1113603331864663;-1.8853479908258963;-22.17;8.119858;-30.28985778808594
-2.1113603331864663;-1.8676905108918376;-23.91;-13.109538;-10.800461921691895
-2.1113603331864663;-1.8500330309577788;-21.6;5.687464;-27.287464237213136
-2.1113603331864663;-1.83237555102372;-23.43;-14.957451;-8.472549133300781
-2.1113603331864663;-1.83237555102372;-24.22842;-90.713425;66.48500468261719
-2.1113603331864663;-1.8147180710896613;-19.33;5.3990436;-24.729043560028074
-2.1113603331864663;-1.7970605911556026;-20.24;-12.880258;-7.359742393493651
-2.1113603331864663;-1.7794031112215438;-14.09;7.394797;-21.48479684829712
-2.1113603331864663;-1.7617456312874853;-13.17;-9.326397;-3.843603057861328
-2.1113603331864663;-1.7440881513534265;-6.57;9.724436;-16.294435806274414
-2.1113603331864663;-1.7264306714193678;-4.92;-2.6327188;-2.287281198501587
-2.1113603331864663;-1.708773191485309;2.57;15.152034;-12.582033805847168
-2.1113603331864663;-1.6911157115512503;4.5;6.7529426;-2.2529425621032715
-2.1113603331864663;-1.6734582316171915;12.18;23.491339;-11.311338729858399
-2.1113603331864663;-1.6558007516831328;15.77;17.647678;-1.877678375244141
-2.1113603331864663;-1.638143271749074;23.14;32.40651;-9.266509399414062
-2.1113603331864663;-1.6204857918150155;28.71;28.860674;-0.15067390441894446
-2.1113603331864663;-1.6028283118809568;37.39;42.18891;-4.798911437988281
-2.1113603331864663;-1.585170831946898;43.78;42.2722;1.5077984619140636
-2.1113603331864663;-1.5675133520128393;52.97;52.95677;0.013228149414061363
-2.1113603331864663;-1.5498558720787805;60.39;55.638863;4.751137390136719
-2.1113603331864663;-1.5321983921447218;69.26;64.30969;4.950307617187505
-2.1113603331864663;-1.514540912210663;76.99;69.75116;7.238840332031245
-2.073585518065048;-2.0089503503643074;46.61;63.44385;-16.833851470947266
-2.073585518065048;-1.9912928704302486;32.83;49.861687;-17.03168670654297
-2.073585518065048;-1.9736353904961899;20.73;47.0511;-26.321101684570312
-2.073585518065048;-1.955977910562131;13.08;37.981922;-24.901922149658205
-2.073585518065048;-1.9383204306280724;-0.21;35.205505;-35.41550537109375
