Z;N;AME20;Prediction;Difference
8.0;13.0;6.706085;984110400.0;-984110393.293915
8.0;16.0;15.52323;984110400.0;-984110384.47677
9.0;14.0;-0.5851945;984110400.0;-984110400.5851945
9.0;17.0;14.97313;984110400.0;-984110385.02687
10.0;14.0;-8.411092;984110400.0;-984110408.411092
10.0;17.0;4.342456;984110400.0;-984110395.657544
10.0;20.0;19.86524;984110400.0;-984110380.13476
11.0;15.0;-8.535248;984110400.0;-984110408.535248
11.0;18.0;0.9728745;984110400.0;-984110399.0271255
11.0;21.0;18.63153;984110400.0;-984110381.36847
12.0;16.0;-16.89657;984110400.0;-984110416.89657
12.0;19.0;-3.873772;984110400.0;-984110403.873772
12.0;22.0;7.765139;984110400.0;-984110392.234861
13.0;10.0;6.680518;984110400.0;-984110393.319482
13.0;16.0;-18.40451;984110400.0;-984110418.40451
13.0;19.0;-11.43949;984110400.0;-984110411.43949
13.0;22.0;-2.063282;984110400.0;-984110402.063282
13.0;25.0;14.64415;984110400.0;-984110385.35585
14.0;18.0;-24.22842;984110400.0;-984110424.22842
14.0;21.0;-15.62569;984110400.0;-984110415.62569
14.0;24.0;-5.918415;984110400.0;-984110405.918415
14.0;27.0;11.30699;984110400.0;-984110388.69301
15.0;20.0;-25.40756;984110400.0;-984110425.40756
15.0;23.0;-15.24789;984110400.0;-984110415.24789
15.0;26.0;-6.99216;984110400.0;-984110406.99216
16.0;12.0;3.491592;984110400.0;-984110396.508408
16.0;21.0;-27.27441;984110400.0;-984110427.27441
16.0;24.0;-23.97731;984110400.0;-984110423.97731
16.0;27.0;-12.6283;984110400.0;-984110412.6283
17.0;14.0;-6.1897;984110400.0;-984110406.1897
17.0;20.0;-30.77861;984110400.0;-984110430.77861
17.0;23.0;-28.02813;984110400.0;-984110428.02813
17.0;26.0;-25.0262;984110400.0;-984110425.0262
17.0;29.0;-13.84311;984110400.0;-984110413.84311
18.0;22.0;-36.28851;984110400.0;-984110436.28851
18.0;25.0;-31.99956;984110400.0;-984110431.99956
18.0;28.0;-29.31816;984110400.0;-984110429.31816
19.0;23.0;-35.27662;984110400.0;-984110435.27662
19.0;26.0;-37.55019;984110400.0;-984110437.55019
19.0;29.0;-32.25288;984110400.0;-984110432.25288
19.0;32.0;-22.34079;984110400.0;-984110422.34079
20.0;24.0;-42.58924;984110400.0;-984110442.58924
20.0;27.0;-42.01372;984110400.0;-984110442.01372
20.0;30.0;-39.4045;984110400.0;-984110439.4045
21.0;18.0;-14.06734;984110400.0;-984110414.06734
21.0;24.0;-41.68658;984110400.0;-984110441.68658
21.0;27.0;-44.45676;984110400.0;-984110444.45676
21.0;30.0;-43.70134;984110400.0;-984110443.70134
21.0;33.0;-34.31269;984110400.0;-984110434.31269
22.0;19.0;-16.0895;984110400.0;-984110416.0895
22.0;25.0;-44.64833;984110400.0;-984110444.64833
22.0;28.0;-51.72329;984110400.0;-984110451.72329
22.0;31.0;-47.01226;984110400.0;-984110447.01226
22.0;34.0;-40.97029;984110400.0;-984110440.97029
23.0;27.0;-48.83425;984110400.0;-984110448.83425
23.0;30.0;-52.13556;984110400.0;-984110452.13556
23.0;33.0;-46.48563;984110400.0;-984110446.48563
23.0;36.0;-38.84065;984110400.0;-984110438.84065
24.0;21.0;-20.26027;984110400.0;-984110420.26027
24.0;27.0;-51.61672;984110400.0;-984110451.61672
24.0;30.0;-57.46635;984110400.0;-984110457.46635
24.0;33.0;-53.8467;984110400.0;-984110453.8467
24.0;36.0;-48.56445;984110400.0;-984110448.56445
24.0;39.0;-37.32976;984110400.0;-984110437.32976
25.0;30.0;-57.28946;984110400.0;-984110457.28946
25.0;33.0;-55.70011;984110400.0;-984110455.70011
25.0;36.0;-52.73977;984110400.0;-984110452.73977
25.0;40.0;-42.39555;984110400.0;-984110442.39555
26.0;30.0;-60.47476;984110400.0;-984110460.47476
26.0;33.0;-60.76323;984110400.0;-984110460.76323
26.0;36.0;-59.84792;984110400.0;-984110459.84792
26.0;39.0;-52.13173;984110400.0;-984110452.13173
26.0;42.0;-45.53207;984110400.0;-984110445.53207
27.0;30.0;-58.10697;984110400.0;-984110458.10697
27.0;33.0;-60.95451;984110400.0;-984110460.95451
27.0;36.0;-62.08578;984110400.0;-984110462.08578
27.0;39.0;-56.68325;984110400.0;-984110456.68325
27.0;42.0;-51.77514;984110400.0;-984110451.77514
28.0;25.0;-28.53472;984110400.0;-984110428.53472
28.0;31.0;-60.02106;984110400.0;-984110460.02106
28.0;34.0;-66.28459;984110400.0;-984110466.28459
28.0;37.0;-65.14212;984110400.0;-984110465.14212
28.0;40.0;-63.71502;984110400.0;-984110463.71502
28.0;43.0;-56.00735;984110400.0;-984110456.00735
29.0;26.0;-30.79504;984110400.0;-984110430.79504
29.0;33.0;-61.86945;984110400.0;-984110461.86945
29.0;36.0;-67.4668;984110400.0;-984110467.4668
29.0;39.0;-65.89723;984110400.0;-984110465.89723
29.0;42.0;-64.14249;984110400.0;-984110464.14249
29.0;45.0;-56.69292;984110400.0;-984110456.69292
29.0;49.0;-45.71107;984110400.0;-984110445.71107
30.0;33.0;-61.84377;984110400.0;-984110461.84377
30.0;36.0;-69.32295;984110400.0;-984110469.32295
30.0;39.0;-69.18867;984110400.0;-984110469.18867
30.0;42.0;-69.11524;984110400.0;-984110469.11524
30.0;45.0;-63.43277;984110400.0;-984110463.43277
30.0;48.0;-58.25193;984110400.0;-984110458.25193
30.0;51.0;-46.75099;984110400.0;-984110446.75099
31.0;35.0;-62.94585;984110400.0;-984110462.94585
31.0;38.0;-69.96304;984110400.0;-984110469.96304
31.0;41.0;-69.49521;984110400.0;-984110469.49521
31.0;44.0;-69.45433;984110400.0;-984110469.45433
31.0;47.0;-63.84708;984110400.0;-984110463.84708
31.0;50.0;-57.80045;984110400.0;-984110457.80045
32.0;37.0;-67.6301;984110400.0;-984110467.6301
32.0;40.0;-73.64781;984110400.0;-984110473.64781
32.0;43.0;-73.19028;984110400.0;-984110473.19028
32.0;46.0;-72.95856;984110400.0;-984110472.95856
32.0;49.0;-66.52893;984110400.0;-984110466.52893
32.0;52.0;-58.45606;984110400.0;-984110458.45606
33.0;36.0;-63.3922;984110400.0;-984110463.3922
33.0;39.0;-69.08914;984110400.0;-984110469.08914
33.0;42.0;-74.23106;984110400.0;-984110474.23106
33.0;45.0;-73.65627;984110400.0;-984110473.65627
33.0;48.0;-73.22083;984110400.0;-984110473.22083
33.0;51.0;-66.10947;984110400.0;-984110466.10947
