,Z,N,me_diff_over_std
0,8.0,8.0,-4.0
1,8.0,9.0,-4.0
2,8.0,10.0,-4.0
3,8.0,11.0,4.0
4,8.0,12.0,4.0
5,8.0,13.0,4.0
6,8.0,14.0,4.0
7,8.0,15.0,4.0
8,8.0,16.0,4.0
9,9.0,8.0,-4.0
10,9.0,9.0,-4.0
11,9.0,10.0,-4.0
12,9.0,11.0,-4.0
13,9.0,12.0,4.0
14,9.0,13.0,4.0
15,9.0,14.0,4.0
16,9.0,15.0,-4.0
17,9.0,16.0,-4.0
18,10.0,8.0,-4.0
19,10.0,9.0,-4.0
20,10.0,10.0,-4.0
21,10.0,11.0,-4.0
22,10.0,12.0,-4.0
23,10.0,13.0,4.0
24,10.0,14.0,4.0
25,10.0,15.0,4.0
26,10.0,16.0,4.0
27,10.0,17.0,2.0
28,10.0,18.0,4.0
29,10.0,19.0,4.0
30,10.0,20.0,4.0
31,11.0,8.0,4.0
32,11.0,9.0,-4.0
33,11.0,10.0,-4.0
34,11.0,11.0,-4.0
35,11.0,12.0,-4.0
36,11.0,13.0,-4.0
37,11.0,14.0,4.0
38,11.0,15.0,4.0
39,11.0,16.0,4.0
40,11.0,17.0,4.0
41,11.0,18.0,4.0
42,11.0,19.0,4.0
43,11.0,20.0,4.0
44,11.0,21.0,4.0
45,11.0,22.0,4.0
46,12.0,8.0,4.0
47,12.0,9.0,-1.0
48,12.0,10.0,-4.0
49,12.0,11.0,-4.0
50,12.0,12.0,-4.0
51,12.0,13.0,-4.0
52,12.0,14.0,-4.0
53,12.0,15.0,-4.0
54,12.0,16.0,3.0
55,12.0,17.0,4.0
56,12.0,18.0,4.0
57,12.0,19.0,4.0
58,12.0,20.0,4.0
59,12.0,21.0,4.0
60,12.0,22.0,4.0
61,12.0,23.0,4.0
62,12.0,24.0,4.0
63,13.0,11.0,-4.0
64,13.0,12.0,-4.0
65,13.0,13.0,-4.0
66,13.0,14.0,-4.0
67,13.0,15.0,-4.0
68,13.0,16.0,4.0
69,13.0,17.0,4.0
70,13.0,18.0,4.0
71,13.0,19.0,4.0
72,13.0,20.0,4.0
73,13.0,21.0,1.0
74,13.0,22.0,-4.0
75,13.0,23.0,-4.0
76,13.0,24.0,4.0
77,13.0,25.0,4.0
78,13.0,26.0,4.0
79,14.0,8.0,4.0
80,14.0,9.0,4.0
81,14.0,10.0,4.0
82,14.0,11.0,-4.0
83,14.0,12.0,-4.0
84,14.0,13.0,-4.0
85,14.0,14.0,-4.0
86,14.0,15.0,-4.0
87,14.0,16.0,-4.0
88,14.0,17.0,-4.0
89,14.0,18.0,-4.0
90,14.0,19.0,4.0
91,14.0,20.0,4.0
92,14.0,21.0,4.0
93,14.0,22.0,4.0
94,14.0,23.0,-4.0
95,14.0,24.0,1.0
96,14.0,25.0,4.0
97,14.0,26.0,4.0
98,14.0,27.0,4.0
99,14.0,28.0,4.0
100,14.0,29.0,4.0
101,14.0,30.0,4.0
102,15.0,12.0,-4.0
103,15.0,13.0,-4.0
104,15.0,14.0,-4.0
105,15.0,15.0,-4.0
106,15.0,16.0,-4.0
107,15.0,17.0,-4.0
108,15.0,18.0,-4.0
109,15.0,19.0,-3.0
110,15.0,20.0,-4.0
111,15.0,21.0,3.0
112,15.0,22.0,4.0
113,15.0,23.0,4.0
114,15.0,24.0,-4.0
115,15.0,25.0,-4.0
116,15.0,26.0,3.0
117,15.0,27.0,-1.0
118,15.0,28.0,4.0
119,15.0,29.0,4.0
120,15.0,30.0,4.0
121,15.0,31.0,4.0
122,15.0,32.0,4.0
123,16.0,10.0,4.0
124,16.0,11.0,4.0
125,16.0,12.0,4.0
126,16.0,13.0,-4.0
127,16.0,14.0,-4.0
128,16.0,15.0,-4.0
129,16.0,16.0,-4.0
130,16.0,17.0,-4.0
131,16.0,18.0,-4.0
132,16.0,19.0,-4.0
133,16.0,20.0,-4.0
134,16.0,21.0,4.0
135,16.0,22.0,4.0
136,16.0,23.0,4.0
137,16.0,24.0,3.0
138,16.0,25.0,4.0
139,16.0,26.0,4.0
140,16.0,27.0,4.0
141,16.0,28.0,4.0
142,16.0,29.0,4.0
143,16.0,30.0,4.0
144,16.0,31.0,4.0
145,16.0,32.0,4.0
146,17.0,15.0,-4.0
147,17.0,16.0,-4.0
148,17.0,17.0,-4.0
149,17.0,18.0,-4.0
150,17.0,19.0,-4.0
151,17.0,20.0,4.0
152,17.0,21.0,4.0
153,17.0,22.0,4.0
154,17.0,23.0,4.0
155,17.0,24.0,-3.0
156,17.0,25.0,4.0
157,17.0,26.0,4.0
158,17.0,27.0,4.0
159,17.0,28.0,4.0
160,17.0,29.0,4.0
161,17.0,30.0,4.0
162,17.0,31.0,4.0
163,17.0,32.0,4.0
164,17.0,33.0,4.0
165,17.0,34.0,4.0
166,18.0,12.0,4.0
167,18.0,13.0,4.0
168,18.0,14.0,4.0
169,18.0,15.0,-4.0
170,18.0,16.0,-4.0
171,18.0,17.0,-4.0
172,18.0,18.0,-4.0
173,18.0,19.0,-4.0
174,18.0,20.0,-4.0
175,18.0,21.0,1.0
176,18.0,22.0,4.0
177,18.0,23.0,4.0
178,18.0,24.0,-2.0
179,18.0,25.0,4.0
180,18.0,26.0,1.0
181,18.0,27.0,2.0
182,18.0,28.0,4.0
183,18.0,29.0,4.0
184,18.0,30.0,4.0
185,18.0,31.0,4.0
186,18.0,32.0,4.0
187,18.0,33.0,4.0
188,18.0,34.0,4.0
189,18.0,35.0,4.0
190,18.0,36.0,4.0
191,19.0,17.0,-4.0
192,19.0,18.0,-4.0
193,19.0,19.0,-4.0
194,19.0,20.0,-4.0
195,19.0,21.0,-4.0
196,19.0,22.0,4.0
197,19.0,23.0,4.0
198,19.0,24.0,4.0
199,19.0,25.0,4.0
200,19.0,26.0,3.0
201,19.0,27.0,-4.0
202,19.0,28.0,-1.0
203,19.0,29.0,-4.0
204,19.0,30.0,4.0
205,19.0,31.0,4.0
206,19.0,32.0,4.0
207,19.0,33.0,4.0
208,19.0,34.0,4.0
209,19.0,35.0,4.0
210,19.0,36.0,4.0
211,19.0,37.0,4.0
212,19.0,38.0,4.0
213,20.0,14.0,4.0
214,20.0,15.0,4.0
215,20.0,16.0,4.0
216,20.0,17.0,-4.0
217,20.0,18.0,-4.0
218,20.0,19.0,-4.0
219,20.0,20.0,-4.0
220,20.0,21.0,-4.0
221,20.0,22.0,4.0
222,20.0,23.0,4.0
223,20.0,24.0,-1.0
224,20.0,25.0,4.0
225,20.0,26.0,4.0
226,20.0,27.0,4.0
227,20.0,28.0,-4.0
228,20.0,29.0,-4.0
229,20.0,30.0,-1.0
230,20.0,31.0,4.0
231,20.0,32.0,4.0
232,20.0,33.0,4.0
233,20.0,34.0,4.0
234,20.0,35.0,4.0
235,20.0,36.0,4.0
236,20.0,37.0,4.0
237,20.0,38.0,4.0
238,20.0,39.0,4.0
239,20.0,40.0,4.0
240,20.0,41.0,4.0
241,20.0,42.0,4.0
242,21.0,20.0,-4.0
243,21.0,21.0,-4.0
244,21.0,22.0,-4.0
245,21.0,23.0,4.0
246,21.0,24.0,4.0
247,21.0,25.0,3.0
248,21.0,26.0,4.0
249,21.0,27.0,4.0
250,21.0,28.0,4.0
251,21.0,29.0,-4.0
252,21.0,30.0,-3.0
253,21.0,31.0,-4.0
254,21.0,32.0,4.0
255,21.0,33.0,4.0
256,21.0,34.0,4.0
257,21.0,35.0,4.0
258,21.0,36.0,4.0
259,21.0,37.0,4.0
260,21.0,38.0,4.0
261,21.0,39.0,4.0
262,21.0,40.0,4.0
263,21.0,41.0,4.0
264,21.0,42.0,4.0
265,21.0,43.0,4.0
266,21.0,44.0,4.0
267,22.0,16.0,4.0
268,22.0,17.0,4.0
269,22.0,18.0,4.0
270,22.0,19.0,4.0
271,22.0,20.0,-4.0
272,22.0,21.0,-4.0
273,22.0,22.0,-4.0
274,22.0,23.0,-4.0
275,22.0,24.0,-4.0
276,22.0,25.0,4.0
277,22.0,26.0,-4.0
278,22.0,27.0,-3.0
279,22.0,28.0,1.0
280,22.0,29.0,4.0
281,22.0,30.0,4.0
282,22.0,31.0,1.0
283,22.0,32.0,4.0
284,22.0,33.0,4.0
285,22.0,34.0,4.0
286,22.0,35.0,4.0
287,22.0,36.0,3.0
288,22.0,37.0,4.0
289,22.0,38.0,4.0
290,22.0,39.0,4.0
291,22.0,40.0,4.0
292,22.0,41.0,4.0
293,22.0,42.0,4.0
294,22.0,43.0,4.0
295,22.0,44.0,4.0
296,23.0,20.0,4.0
297,23.0,21.0,-4.0
298,23.0,22.0,-4.0
299,23.0,23.0,-4.0
300,23.0,24.0,4.0
301,23.0,25.0,4.0
302,23.0,26.0,4.0
303,23.0,27.0,1.0
304,23.0,28.0,1.0
305,23.0,29.0,2.0
306,23.0,30.0,4.0
307,23.0,31.0,4.0
308,23.0,32.0,4.0
309,23.0,33.0,4.0
310,23.0,34.0,4.0
311,23.0,35.0,4.0
312,23.0,36.0,4.0
313,23.0,37.0,3.0
314,23.0,38.0,4.0
315,23.0,39.0,4.0
316,23.0,40.0,4.0
317,23.0,41.0,4.0
318,23.0,42.0,4.0
319,23.0,43.0,4.0
320,23.0,44.0,4.0
321,23.0,45.0,4.0
322,23.0,46.0,4.0
323,23.0,47.0,4.0
324,23.0,48.0,4.0
325,23.0,49.0,4.0
326,23.0,50.0,4.0
327,23.0,51.0,4.0
328,23.0,52.0,4.0
329,24.0,17.0,4.0
330,24.0,18.0,4.0
331,24.0,19.0,4.0
332,24.0,20.0,4.0
333,24.0,21.0,2.0
334,24.0,22.0,-4.0
335,24.0,23.0,-4.0
336,24.0,24.0,-4.0
337,24.0,25.0,4.0
338,24.0,26.0,-4.0
339,24.0,27.0,-3.0
340,24.0,28.0,-4.0
341,24.0,29.0,-4.0
342,24.0,30.0,-4.0
343,24.0,31.0,4.0
344,24.0,32.0,3.0
345,24.0,33.0,2.0
346,24.0,34.0,-1.0
347,24.0,35.0,4.0
348,24.0,36.0,-1.0
349,24.0,37.0,-4.0
350,24.0,38.0,-4.0
351,24.0,39.0,-4.0
352,24.0,40.0,-2.0
353,24.0,41.0,4.0
354,24.0,42.0,4.0
355,24.0,43.0,4.0
356,24.0,44.0,4.0
357,24.0,45.0,4.0
358,24.0,46.0,4.0
359,24.0,47.0,4.0
360,24.0,48.0,4.0
361,24.0,49.0,4.0
362,24.0,50.0,4.0
363,25.0,23.0,-4.0
364,25.0,24.0,-4.0
365,25.0,25.0,-4.0
366,25.0,26.0,4.0
367,25.0,27.0,1.0
368,25.0,28.0,1.0
369,25.0,29.0,-4.0
370,25.0,30.0,-4.0
371,25.0,31.0,1.0
372,25.0,32.0,4.0
373,25.0,33.0,4.0
374,25.0,34.0,4.0
375,25.0,35.0,4.0
376,25.0,36.0,4.0
377,25.0,37.0,4.0
378,25.0,38.0,-4.0
379,25.0,39.0,-4.0
380,25.0,40.0,-4.0
381,25.0,41.0,-4.0
382,25.0,42.0,3.0
383,25.0,43.0,4.0
384,25.0,44.0,4.0
385,25.0,45.0,4.0
386,25.0,46.0,4.0
387,25.0,47.0,4.0
388,25.0,48.0,4.0
389,25.0,49.0,4.0
390,25.0,50.0,4.0
391,25.0,51.0,4.0
392,25.0,52.0,4.0
393,25.0,53.0,4.0
394,25.0,54.0,4.0
395,26.0,19.0,4.0
396,26.0,20.0,4.0
397,26.0,21.0,4.0
398,26.0,22.0,4.0
399,26.0,23.0,-4.0
400,26.0,24.0,-4.0
401,26.0,25.0,-4.0
